tract,neighborhood,area,total_tract_area,tract_percent
104108,Pacoima,7760397.062772831,11803024.847171685,0.6574922245150087
104108,Hansen Dam,210917.62595754975,11803024.847171685,0.017869794284817688
104108,Lake View Terrace,3831710.1584412935,11803024.847171685,0.3246379812001728
104124,Tujunga Canyons,14253322.313101683,48221677.831619695,0.29557914519008216
104124,Lake View Terrace,16623295.720071843,48221677.831619695,0.34472661399541127
104124,Lopez/Kagel Canyons,17345059.798446145,48221677.831619695,0.3596942408145061
104201,Sylmar,81652.96960313871,11732587.255365059,0.006959502437606043
104201,Pacoima,11649526.11461332,11732587.255365059,0.99292047534411
104201,Lake View Terrace,1356.5256196529706,11732587.255365059,0.00011562033080407399
104201,San Fernando,51.645529049686616,11732587.255365059,4.401887488718247e-06
104203,Pacoima,7620036.271984014,7620036.271984012,1.0000000000000002
104204,Lake View Terrace,23771084.302824814,28675847.370246325,0.8289583912170412
104204,Pacoima,3762981.247365862,28675847.370246325,0.13122476203685898
104204,Lopez/Kagel Canyons,1141781.820055545,28675847.370246325,0.03981684674609625
104310,Pacoima,16118477.359130025,16237239.91967853,0.992685791357645
104310,San Fernando,118762.56054849538,16237239.91967853,0.007314208642354451
104321,Pacoima,5595200.855825673,5595200.855825674,0.9999999999999999
104322,Pacoima,7451302.5092520835,7451302.509252081,1.0000000000000004
104401,Pacoima,7330831.985274043,7330831.985274045,0.9999999999999998
104403,Pacoima,7459610.892470889,7459610.892470892,0.9999999999999997
104404,Pacoima,5807918.372049735,5807918.372049733,1.0000000000000002
104500,Pacoima,5715190.457043017,5715190.4570430145,1.0000000000000004
104610,Pacoima,6373156.017959707,6373156.017959708,0.9999999999999999
104620,Pacoima,5716992.276820941,5716992.276820943,0.9999999999999997
104701,Pacoima,5925044.78605397,5925044.786053971,0.9999999999999999
104703,Hansen Dam,52400.61981602188,12573746.284036271,0.004167462793690224
104703,Pacoima,12521345.66422027,12573746.284036271,0.9958325372063114
104704,Pacoima,17895656.9452512,17900181.922461405,0.9997472105462499
104704,Hansen Dam,4524.977210357378,17900181.922461405,0.00025278945375853255
104821,Pacoima,5723796.510102799,5723796.5101028,0.9999999999999999
104822,Arleta,3811.8010339284774,6504668.815441551,0.0005860100094380784
104822,Pacoima,6500857.014407669,6504668.815441551,0.9994139899905692
104823,Pacoima,5718767.120950247,5718767.120950244,1.0000000000000004
104824,Pacoima,6371995.135635334,6371995.135635337,0.9999999999999996
106010,Tujunga Canyons,96.75327743333038,27098616.864857037,3.570413867093169e-06
106010,Sylmar,27098520.11157958,27098616.864857037,0.999996429586132
106020,Tujunga Canyons,49.72157915854784,21718323.535691675,2.2893838503158816e-06
106020,Sylmar,21718273.81411251,21718323.535691675,0.9999977106161494
106111,Tujunga Canyons,88.86430960594254,29992030.25524678,2.9629307802660906e-06
106111,Lopez/Kagel Canyons,440972.1330834608,29992030.25524678,0.014702977068593664
106111,Sylmar,29550969.25785366,29992030.25524678,0.9852940600006242
106112,Sylmar,34263312.50639534,34747531.32887534,0.9860646554168983
106112,Pacoima,467000.2139077842,34747531.32887534,0.013439809852612611
106112,Lopez/Kagel Canyons,336.7992185404038,34747531.32887534,9.692752424703111e-06
106112,Lake View Terrace,16881.809353519307,34747531.32887534,0.0004858419780599048
106113,Sylmar,15535764.31401269,15535764.314012686,1.0000000000000002
106114,Sylmar,10918013.678849546,10918013.678849552,0.9999999999999994
106403,Sylmar,11899848.860434147,11899848.860434147,1.0
106405,Sylmar,12611159.732543044,12611159.732543038,1.0000000000000004
106406,Sylmar,21673389.840853978,21673389.840853963,1.0000000000000007
106407,Sylmar,2498435.279360876,2498435.279360876,1.0
106408,Sylmar,2465456.788391278,2465456.7883912786,0.9999999999999998
106510,Sylmar,61593608.38363674,62320912.17912927,0.9883296991320981
106510,Tujunga Canyons,0.43955094492959823,62320912.17912927,7.053024892610605e-09
106510,Unincorporated Santa Susana Mountains,256.6058584008241,62320912.17912927,4.11749201717813e-06
106510,Granada Hills,727046.7500831311,62320912.17912927,0.01166617632285897
106520,Sylmar,23741526.231849298,23741526.23184929,1.0000000000000002
