neighborhood,total_population,white_alone,black_alone,american_indian_and_alaska_native,asian_alone,native_hawaiian_and_pacific_islander,some_other_race,two_or_more_races,latino_alone,white_percent,black_percent,american_indian_percent,asian_percent,native_hawaiian_percent,other_percent,two_or_more_races_percent,latino_percent,nonwhite_percent,majority_nonwhite,majority_white,majority_black,majority_asian,majority_latino,non_hispanic_percent,diversity_index
Beverly Crest,9722.880159709364,7503.793317017979,216.98981962056018,0.0101857188362104,667.773698425542,0.004721793195198,34.740608362690416,580.8528303244683,718.7149784460938,0.7717665129837702,0.022317442574242983,1.0476030424008507e-06,0.06868064683063038,4.856372924110116e-07,0.0035730779143665677,0.059740819673111255,0.07391996678354386,0.2282334870162298,False,True,False,False,False,0.9260800332164562,0.48142313722649466
Beverly Grove,20300.795406633533,14703.200856327072,901.1754645231623,11.754231368354118,1700.150598253448,0.0,176.960464979881,970.8378841887968,1836.7159069928189,0.7242672300181214,0.04439114066578358,0.0005790034889230635,0.08374797953472812,0.0,0.008716922733089414,0.047822652499200285,0.0904750710601541,0.27573276998187857,False,True,False,False,False,0.9095249289398459,0.5542629073854709
Beverly Hills,32410.201074727116,23733.735645392906,540.3446817542126,23.99873827959223,3931.096271285529,0.137057890613334,370.30740109451534,1512.8626536816137,2297.718625348135,0.7322921443983277,0.01667205582922358,0.0007404686636858298,0.1212919433058046,4.228850364035824e-06,0.011425643433705023,0.04667859511866208,0.07089492040022714,0.2677078556016723,False,True,False,False,False,0.9291050795997728,0.521377309314753
Beverlywood,6811.539750325265,4974.537360722089,58.56753240454425,1.4143524043632216,490.5072554382273,3.9047030121746533,286.97426842353303,188.78036551023862,806.8539124100959,0.7303102592162872,0.008598280939599233,0.00020764062990246565,0.07201121529310675,0.0005732482163064814,0.04213060173506723,0.027714785853114043,0.11845396811661664,0.2696897407837128,False,True,False,False,False,0.8815460318833833,0.5738737735581353
Boyle Heights,90201.4800933119,2256.541441566338,1140.597976273743,69.14313533476825,2367.2824920088287,16.298258724149726,200.45128641332866,415.78793651821843,83735.37756647253,0.02501667865352081,0.012645002887910638,0.0007665410286310252,0.026244386340001463,0.00018068726485739983,0.0022222616104077804,0.0046095467179484515,0.9283148954967224,0.9749833213464791,True,False,False,False,True,0.07168510450327759,0.9987212091294418
Bradbury,1070.0344545446976,609.737687499613,4.794524958690016,0.0,288.49336382662335,0.0884355585731112,1.009482502892285e-07,13.602677897593638,153.31776470265618,0.5698299572597014,0.004480720165903535,0.0,0.2696112845724935,8.264739345308348e-05,9.434112131667969e-11,0.012712373736957482,0.14328301677714975,0.4301700427402986,False,True,False,False,False,0.8567169832228503,0.7001516238636732
Brentwood,32939.478849653315,25270.525213972436,470.3629231636303,12.178879955609112,2475.8545956314565,0.1764268140754591,119.41797789471867,1703.2176151198914,2887.745217101495,0.7671804805812344,0.01427961035177643,0.00036973505291925085,0.07516374521078723,5.356090024396848e-06,0.003625375448099281,0.051707485200173944,0.08766821206498501,0.23281951941876555,False,True,False,False,False,0.912331787935015,0.500666792541882
Broadway-Manchester,29908.064629977343,223.07364827679208,5607.679368455676,50.38084294112006,216.52608612710154,0.0819689573707138,283.8862640820226,433.80196200558436,23092.634489131677,0.007458645386676131,0.18749723319893483,0.0016845236749496158,0.007239722422897063,2.7406974802560433e-06,0.009491963709262509,0.014504514664274784,0.7721206562455248,0.9925413546133238,True,False,False,False,True,0.22787934375447516,0.9771440683704082
Burbank,106475.26268424687,58813.85158200912,3110.3626081767643,417.9898092310535,12537.669844845397,48.42349938301172,1279.7024541265832,4501.927568213197,25765.335318261747,0.5523710399890912,0.029212067946717032,0.003925698783863113,0.11775195034762152,0.0004547863810076895,0.012018777149407462,0.04228144129180216,0.2419842381104898,0.4476289600109088,False,True,False,False,False,0.7580157618895103,0.797489913970258
Calabasas,22917.96968585457,16374.724253835991,560.210383199544,78.06674720416945,2547.5993770794526,0.0,108.99045152867538,1081.6816311695939,2166.6968418371425,0.7144927966259943,0.02444415412353552,0.003406355286888865,0.11116165227550162,0.0,0.004755676572691624,0.047197969366249294,0.09454139574913878,0.2855072033740057,False,True,False,False,False,0.9054586042508612,0.5661548641372854
